task_id,task_name,best_hours,likely_hours,worst_hours,actual_hours,status,created_at,completed_at,notes
CAL2757-OPS-003,Formula and source transparency rollout,0.5,0.8,1.5,0.6,done,2026-05-12T01:00:00+07:00,2026-05-12T01:36:00+07:00,RelatedCalculators quick-answer with assumptions and sources
CAL2757-OPS-004,Internal link graph hardening,0.3,0.5,1.0,0.4,done,2026-05-12T01:00:00+07:00,2026-05-12T01:24:00+07:00,Expanded to 5 links per related block
CAL2757-OPS-005,GEO snippet quick answer refinement,0.5,0.8,1.5,0.7,done,2026-05-12T01:00:00+07:00,2026-05-12T01:42:00+07:00,Topic-specific concise answer blocks
CAL2757-OPS-006,Structured data coverage expansion,0.4,0.7,1.2,0.6,done,2026-05-12T01:00:00+07:00,2026-05-12T01:36:00+07:00,Category-aware schema mapping in BaseLayout
CAL2757-OPS-007,llms inventory freshness and parity,0.6,1.0,1.8,0.9,done,2026-05-12T01:00:00+07:00,2026-05-12T01:54:00+07:00,Sitemap-synced llms-full generated
CAL2757-OPS-008,Trust-signal variance cleanup,0.8,1.2,2.2,1.5,done,2026-05-12T01:00:00+07:00,2026-05-12T02:30:00+07:00,Fixed indexable redirects and audit filters
CAL2757-OPS-009,Indexation blocker triage cycle,0.6,0.9,1.5,0.8,done,2026-05-12T01:00:00+07:00,2026-05-12T01:48:00+07:00,Top-20 queue rebuilt from canonical llms URLs
CAL2757-OPS-010,Priority metadata and CTR hardening,0.3,0.5,1.0,0.4,done,2026-05-12T01:00:00+07:00,2026-05-12T01:24:00+07:00,Dynamic Thai year metadata logic
CAL2757-OPS-011,Mobile trust microcopy and readability,0.3,0.6,1.0,0.5,done,2026-05-12T01:00:00+07:00,2026-05-12T01:30:00+07:00,Short trust copy and assumptions tuned for mobile
CAL2757-OPS-012,24h KPI closeout report,0.5,0.8,1.5,0.9,done,2026-05-12T01:30:00+07:00,2026-05-12T02:24:00+07:00,Closeout report compiled with evidence links
